section_id,ge_code
2025_Spring_33428,GE-1A
2025_Spring_50030,GE-5A
2025_Spring_05673,GE-1B
2025_Spring_05732,GE-1B
2025_Spring_61010,GE-3
2025_Spring_61010,GE-7
2025_Spring_47648,GE-1B
2025_Spring_37120,GE-5A
2025_Spring_05765,GE-1B
2025_Spring_05793,GE-1B
2025_Spring_70120,GE-5B
2025_Spring_70185,GE-3
2025_Spring_70185,GE-8
2025_Spring_47320,GE-2
2025_Spring_47320,GE-5A
2025_Spring_70575,GE-1B
2025_Spring_50190,GE-1B
2025_Spring_23310,GE-4
2025_Spring_24220,GE-1B
2025_Spring_40020,GE-2
2025_Spring_40020,GE-5A
2025_Spring_05550,GE-1B
2025_Spring_05553,GE-1B
2025_Spring_12105,GE-7
2025_Spring_47450,GE-2
2025_Spring_47450,GE-5A
2025_Spring_05734,GE-1B
2025_Spring_05735,GE-1B
2025_Spring_27701,GE-1A
2025_Spring_27805,GE-1A
2025_Spring_30350,GE-4
2025_Spring_33388,GE-1A
2025_Spring_12230,GE-1B
2025_Spring_38012,GE-3
2025_Spring_28821,GE-6
2025_Spring_20220,GE-3
2025_Spring_20220,GE-4
2025_Spring_20220,GE-7
2025_Spring_22032,GE-6
2025_Spring_05785,GE-1B
2025_Spring_61700,GE-5B
2025_Spring_13262,GE-1B
2025_Spring_35790,GE-2
2025_Spring_13274,GE-1B
2025_Spring_13276,GE-1B
2025_Spring_13500,GE-2
2025_Spring_13500,GE-5A
2025_Spring_13502,GE-2
2025_Spring_13502,GE-5A
2025_Spring_05341,GE-1B
2025_Spring_13297,GE-1B
2025_Spring_22220,GE-4
2025_Spring_22707,GE-4
2025_Spring_22707,GE-7
2025_Spring_04160,GE-4
2025_Spring_33173,GE-1A
2025_Spring_33215,GE-1A
2025_Spring_33384,GE-1A
2025_Spring_33387,GE-1A
2025_Spring_35670,GE-2
2025_Spring_12030,GE-3
2025_Spring_50230,GE-1B
2025_Spring_50250,GE-1B
2025_Spring_50260,GE-1B
2025_Spring_23300,GE-4
2025_Spring_23300,GE-7
2025_Spring_28114,GE-1A
2025_Spring_29314,GE-6
2025_Spring_31257,GE-6
2025_Spring_31350,GE-7
2025_Spring_31320,GE-8
2025_Spring_32430,GE-8
2025_Spring_33351,GE-1A
2025_Spring_37160,GE-5A
2025_Spring_33379,GE-1A
2025_Spring_33383,GE-1A
2025_Spring_40200,GE-2
2025_Spring_40200,GE-5A
2025_Spring_33312,GE-1A
2025_Spring_33325,GE-1A
2025_Spring_33372,GE-1A
2025_Spring_33426,GE-1A
2025_Spring_05347,GE-1B
2025_Spring_05344,GE-1B
2025_Spring_05343,GE-1B
2025_Spring_05675,GE-1B
2025_Spring_05342,GE-1B
2025_Spring_32410,GE-6
2025_Spring_05760,GE-1B
2025_Spring_33352,GE-1A
2025_Spring_13299,GE-1B
2025_Spring_28104,GE-1A
2025_Spring_26610,GE-4
2025_Spring_29904,GE-1B
2025_Spring_28950,GE-8
2025_Spring_05852,GE-1B
2025_Spring_06015,GE-1B
2025_Spring_30260,GE-6
2025_Spring_05853,GE-1B
2025_Spring_31332,GE-8
2025_Spring_33335,GE-1A
2025_Spring_33341,GE-1A
2025_Spring_29312,GE-6
2025_Spring_30340,GE-4
2025_Spring_35680,GE-2
2025_Spring_35680,GE-3
2025_Spring_37190,GE-5A
2025_Spring_40895,GE-2
2025_Spring_40895,GE-5A
2025_Spring_05543,GE-1B
2025_Spring_05549,GE-1B
2025_Spring_40260,GE-2
2025_Spring_40260,GE-5A
2025_Spring_05348,GE-1B
2025_Spring_24870,GE-8
2025_Spring_24816,GE-6
2025_Spring_26560,GE-4
2025_Spring_26560,GE-8
2025_Spring_27605,GE-1A
2025_Spring_27704,GE-1A
2025_Spring_33322,GE-1A
2025_Spring_47270,GE-2
2025_Spring_47270,GE-5A
2025_Spring_33310,GE-1A
2025_Spring_05733,GE-1B
2025_Spring_21015,GE-4
2025_Spring_21015,GE-8
2025_Spring_87655,GE-2
2025_Spring_37110,GE-5A
2025_Spring_40440,GE-2
2025_Spring_40440,GE-5A
2025_Spring_33248,GE-1A
2025_Spring_67080,GE-3
2025_Spring_67080,GE-8
2025_Spring_68100,GE-5B
2025_Spring_28120,GE-4
